R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO.TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO.TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women.s.Flyweight_rank,R_Women.s.Featherweight_rank,R_Women.s.Strawweight_rank,R_Women.s.Bantamweight_rank,R_Heavyweight_rank,R_Light.Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound.for.Pound_rank,B_Women.s.Flyweight_rank,B_Women.s.Featherweight_rank,B_Women.s.Strawweight_rank,B_Women.s.Bantamweight_rank,B_Heavyweight_rank,B_Light.Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound.for.Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds,latitude,longitude
Bruno Silva,David Dvorak,-110.0,100,90.90909091,100.0,2020-03-14,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Flyweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,172.72,125,1,0,0,1.54,0.4,0.0,2.31,0.18,0,1,3,0,0,0,0,0,0,0,0,Orthodox,162.56,165.1,135,29,27,1,0,0,0,1,-3,0,0,0,2.54,7.62,2,-1.54,0.0,-2.31,1,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,U-DEC,,3.0,5:00,900.0,165.0,400.0,400.0,450.0,1000.0,300.0,-15.7934036,-47.8823172
Veronica Macedo,Bea Malecki,-155.0,145,64.51612903,145.0,2020-03-14,"Brasilia, Distrito Federal, Brazil",Brazil,Blue,False,Women's Bantamweight,FEMALE,3,0,1,0,2.72,0.26,4.3,0.0,0.0,1,0,2,0,0,0,0,0,1,0,1,Orthodox,175.26,187.96,135,0,1,0,1.9,0.45,0.8,0.8,1.0,1,3,9,0,0,0,0,0,1,0,1,Southpaw,162.56,162.56,125,24,28,0,0,0,0,3,-7,0,0,0,12.7,25.4,-4,0.82,3.5,-0.8,1,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,U-DEC,,3.0,5:00,900.0,220.0,320.0,380.0,650.0,450.0,550.0,-15.7934036,-47.8823172
Israel Adesanya,Yoel Romero,-260.0,240,38.46153846,240.0,2020-03-07,"Las Vegas, Nevada, USA",USA,Red,True,Middleweight,MALE,5,2,0,0,3.71,0.49,0.0,1.79,0.31,8,4,40,2,0,1,1,7,0,0,9,Southpaw,182.88,185.42,185,0,7,0,4.46,0.5,0.4,0.0,0.0,7,0,21,2,0,1,3,3,0,0,7,Switch,193.04,203.2,185,30,42,-2,-7,1,2,-4,19,0,4,0,-10.16,-17.78,-12,-0.75,-0.4,1.79,0,1,3,0,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,0,unRanked,unRanked,unRanked,unRanked,unRanked,6,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,3,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,Red,U-DEC,,5.0,5:00,1500.0,200.0,750.0,2800.0,1450.0,160.0,285.0,36.1672559,-115.148516
Weili Zhang,Joanna Jedrzejczyk,-185.0,170,54.05405405,170.0,2020-03-07,"Las Vegas, Nevada, USA",USA,Red,True,Women's Strawweight,FEMALE,5,0,1,0,6.18,0.47,0.1,0.3,0.62,8,3,50,9,0,1,7,2,0,0,10,Orthodox,167.64,165.1,115,0,4,0,6.22,0.49,0.9,1.75,0.3,4,0,8,1,0,0,2,1,1,0,4,Switch,162.56,160.02,115,30,32,0,-3,4,6,-3,42,8,1,-1,5.08,5.08,-2,-0.04,-0.8,-1.45,0,1,4,0,unRanked,unRanked,0,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,3,unRanked,unRanked,4,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,5,Red,S-DEC,,5.0,5:00,1500.0,,250.0,,1800.0,,640.0,36.1672559,-115.148516
Beneil Dariush,Drakkar Klose,-162.0,152,61.72839506,152.0,2020-03-07,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,3,0,3.98,0.52,0.0,1.67,0.3,3,1,18,0,0,1,4,0,0,0,5,Orthodox,175.26,177.8,155,0,3,1,3.95,0.49,0.9,1.77,0.34,5,4,33,0,0,1,4,1,5,0,11,Southpaw,177.8,182.88,155,30,31,0,0,-2,-6,3,-15,0,-1,-5,-2.54,-5.08,-1,0.03,-0.9,-0.1,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,KO/TKO,Punch,2.0,1:00,360.0,190.0,270.0,240.0,1800.0,1200.0,450.0,36.1672559,-115.148516
Neil Magny,Li Jingliang,157.0,-167,157.0,59.88023952,2020-03-07,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,3,0,4.9,0.43,0.0,1.24,0.36,4,3,29,0,0,1,2,6,0,0,9,Orthodox,182.88,180.34,170,1,0,0,3.86,0.46,0.3,2.62,0.46,7,6,52,0,0,1,7,5,1,0,14,Orthodox,190.5,203.2,170,32,31,1,3,-3,-5,3,-23,0,1,-1,-7.62,-22.86,1,1.04,-0.3,-1.38,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,,,,,,240.0,270.0,1200.0,1600.0,1200.0,160.0,36.1672559,-115.148516
Alex Oliveira,Max Griffin,-125.0,115,80.0,115.0,2020-03-07,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,1,0,0,4.22,0.49,0.6,1.89,0.54,1,5,22,0,1,0,1,1,0,0,3,Orthodox,180.34,193.04,170,3,0,0,2.9,0.5,0.7,2.86,0.39,3,6,36,0,0,0,2,4,3,0,9,Orthodox,180.34,193.04,170,32,34,2,0,-2,-6,1,-14,0,-3,-3,0.0,0.0,-2,1.32,-0.1,-0.97,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,S-DEC,,3.0,5:00,900.0,270.0,240.0,450.0,950.0,320.0,450.0,36.1672559,-115.148516
Sean O'Malley,Jose Quinonez,-330.0,300,30.3030303,300.0,2020-03-07,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,0,1,0,3.49,0.47,0.7,2.64,0.45,4,2,18,0,0,0,4,0,1,0,5,Orthodox,172.72,175.26,135,0,2,0,6.75,0.56,1.3,1.31,0.5,2,0,6,0,0,0,2,0,0,0,2,Switch,180.34,182.88,135,25,29,0,-1,2,3,-2,12,0,0,1,-7.62,-7.62,-4,-3.26,-0.6,1.33,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,KO/TKO,Punches,1.0,2:02,122.0,190.0,435.0,300.0,1440.0,250.0,1425.0,36.1672559,-115.148516
Mark Madsen,Austin Hubbard,-215.0,195,46.51162791,195.0,2020-03-07,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,1,0,3.17,0.41,0.0,1.5,0.6,1,1,6,0,0,0,1,0,0,0,1,Orthodox,177.8,180.34,155,0,1,0,18.33,0.75,0.0,12.5,0.5,1,0,1,0,0,0,0,1,0,0,1,Orthodox,172.72,182.88,155,35,28,0,0,0,0,-1,5,0,-1,0,5.08,-2.54,7,-15.16,0.0,-11.0,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,U-DEC,,3.0,5:00,900.0,115.0,330.0,500.0,950.0,364.0,1190.0,36.1672559,-115.148516
Rodolfo Vieira,Saparbeg Safarov,-570.0,480,17.54385965,480.0,2020-03-07,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,0,1,0,4.29,0.48,0.0,2.8,0.41,1,2,6,0,0,0,1,0,0,0,1,Orthodox,185.42,198.12,205,0,1,0,1.91,0.46,1.6,4.77,0.42,1,0,2,0,0,0,0,0,1,0,1,Orthodox,182.88,185.42,185,30,33,0,0,0,0,-2,4,0,0,-1,2.54,12.7,-3,2.38,-1.6,-1.97,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,SUB,Arm Triangle,1.0,2:58,178.0,475.0,1250.0,-230.0,2500.0,780.0,850.0,36.1672559,-115.148516
Gerald Meerschaert,Deron Winn,125.0,-135,125.0,74.07407407,2020-03-07,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,1,0,0,6.6,0.47,0.0,3.0,0.33,1,1,6,0,0,0,1,0,0,0,1,Orthodox,167.64,177.8,185,1,0,0,2.73,0.42,1.8,2.56,0.41,2,4,18,0,0,0,0,1,4,0,5,Southpaw,185.42,195.58,185,32,30,0,0,-1,-4,3,-12,0,-1,-4,-17.78,-17.78,2,3.87,-1.8,0.44,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,SUB,Rear Naked Choke,3.0,2:13,733.0,450.0,160.0,225.0,1575.0,1035.0,345.0,36.1672559,-115.148516
Jamall Emmers,Giga Chikadze,-170.0,160,58.82352941,160.0,2020-03-07,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,0,1,0,3.33,0.52,0.0,0.51,0.33,1,0,3,0,0,1,0,0,0,0,1,Orthodox,182.88,187.96,145,0,0,0,8.27,0.68,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,187.96,145,30,31,0,1,1,1,0,3,0,0,0,5.08,0.0,-1,-4.94,0.0,0.51,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,S-DEC,,3.0,5:00,900.0,240.0,285.0,275.0,1700.0,450.0,400.0,36.1672559,-115.148516
Danaa Batgerel,Guido Cannetti,-120.0,110,83.33333333,110.0,2020-03-07,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,1,0,0,2.8,0.52,0.3,2.8,0.5,1,3,11,0,0,0,2,0,0,0,2,Southpaw,167.64,172.72,135,1,0,0,5.67,0.36,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135,30,40,0,0,1,2,-2,8,0,0,0,-2.54,-5.08,-10,-2.87,0.3,2.8,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,KO/TKO,Punch,1.0,3:01,181.0,285.0,215.0,425.0,1360.0,405.0,455.0,36.1672559,-115.148516
Joseph Benavidez,Deiveson Figueiredo,-150.0,130,66.66666667,130.0,2020-02-29,"Norfolk, Virginia, USA", USA,Blue,True,Flyweight,MALE,5,0,2,0,2.44,0.52,2.4,1.78,0.47,4,1,16,0,0,1,1,3,1,0,6,Orthodox,165.1,172.72,125,0,3,0,3.46,0.33,0.6,1.53,0.31,6,5,65,2,0,1,10,6,3,0,21,Southpaw,162.56,165.1,125,35,32,0,-1,-2,-15,4,-49,-2,-3,-2,2.54,7.62,3,-1.02,1.8,0.25,0,1,3,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,3,unRanked,Red,KO/TKO,Punch,2.0,1:54,414.0,145.0,380.0,650.0,1200.0,500.0,325.0,36.8448348,-76.2863999
Felicia Spencer,Zarah Fairn,-870.0,585,11.49425287,585.0,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Women's Featherweight,FEMALE,3,1,0,0,0.51,0.4,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,172.72,182.88,145,1,0,0,3.26,0.51,0.8,0.82,0.1,1,1,4,0,0,0,0,0,1,0,1,Orthodox,167.64,172.72,145,29,33,0,0,-1,-1,0,-3,0,0,-1,5.08,10.16,-4,-2.75,-0.8,-0.82,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,KO/TKO,Punches,1.0,3:37,217.0,340.0,975.0,-170.0,2550.0,600.0,1500.0,36.8448348,-76.2863999
Ion Cutelaba,Magomed Ankalaev,185.0,-225,185.0,44.44444444,2020-02-29,"Norfolk, Virginia, USA", USA,Blue,False,Light Heavyweight,MALE,3,0,3,0,3.32,0.56,0.0,0.69,0.33,3,1,10,0,0,0,1,2,0,0,3,Orthodox,190.5,190.5,205,0,1,0,5.27,0.39,0.0,2.62,0.71,2,3,14,0,0,0,1,3,0,0,4,Southpaw,185.42,190.5,205,26,27,0,2,1,-1,2,-4,0,-1,0,5.08,0.0,-1,-1.95,0.0,-1.93,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,KO/TKO,Punches,1.0,0:38,38.0,1200.0,205.0,1400.0,600.0,245.0,250.0,36.8448348,-76.2863999
Megan Anderson,Norma Dumont,-245.0,205,40.81632653,205.0,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Women's Featherweight,FEMALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,135,0,1,0,1.8,0.46,0.6,0.64,0.5,1,2,6,0,0,0,0,1,1,0,2,Orthodox,182.88,182.88,145,30,29,0,-1,-1,-2,2,-6,0,-1,-1,-12.7,-12.7,1,-1.8,-0.6,-0.64,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,KO/TKO,Punch,1.0,3:31,211.0,280.0,475.0,700.0,470.0,160.0,1675.0,36.8448348,-76.2863999
Grant Dawson,Darrick Minner,-475.0,380,21.05263158,380.0,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Featherweight,MALE,3,0,0,0,6.85,0.54,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,145,0,2,0,3.76,0.46,2.1,5.23,0.45,2,0,5,0,0,0,1,0,1,0,2,Switch,177.8,182.88,145,26,29,0,-2,-2,-2,0,-5,0,0,-1,-7.62,-5.08,-3,3.09,-2.1,-5.23,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,SUB,Rear Naked Choke,2.0,1:38,398.0,475.0,700.0,-110.0,700.0,300.0,1200.0,36.8448348,-76.2863999
Gabriel Silva,Kyler Phillips,-130.0,110,76.92307692,110.0,2020-02-29,"Norfolk, Virginia, USA", USA,Blue,False,Bantamweight,MALE,3,0,0,0,18.26,0.56,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,179.0,135,1,0,0,0.53,0.5,0.0,1.0,0.16,0,1,3,0,0,0,0,0,0,0,0,Orthodox,167.64,180.34,135,25,24,1,0,0,0,1,-3,0,0,0,5.08,-1.34,1,17.73,0.0,-1.0,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,U-DEC,,3.0,5:00,900.0,190.0,210.0,575.0,665.0,500.0,625.0,36.8448348,-76.2863999
Brendan Allen,Tom Breese,110.0,-130,110.0,76.92307692,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Middleweight,MALE,3,0,1,0,3.85,0.49,0.3,0.0,0.0,3,1,9,0,0,0,1,3,0,0,4,Southpaw,190.5,185.42,185,0,1,0,2.0,0.53,6.2,3.74,0.42,1,0,2,0,0,0,0,0,1,0,1,Orthodox,187.96,190.5,185,24,28,0,0,2,3,-1,7,0,3,-1,2.54,-5.08,-4,1.85,-5.9,-3.74,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,KO/TKO,Punches,1.0,4:47,287.0,325.0,240.0,325.0,475.0,1500.0,325.0,36.8448348,-76.2863999
Luis Pena,Steve Garcia,-270.0,230,37.03703704,230.0,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,8.89,0.55,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,182.88,190.5,155,1,0,0,3.7,0.45,1.0,1.25,0.31,2,2,13,0,0,0,1,1,1,0,3,Southpaw,190.5,190.5,155,26,27,1,0,-2,-3,2,-13,0,-1,-1,-7.62,0.0,-1,5.19,-1.0,-1.25,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,U-DEC,,3.0,5:00,900.0,155.0,,300.0,,470.0,,36.8448348,-76.2863999
Marcin Tybura,Serghei Spivac,100.0,-120,100.0,83.33333333,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Heavyweight,MALE,3,0,1,0,2.65,0.53,1.6,9.93,0.75,1,1,3,0,0,0,0,0,1,0,1,Orthodox,190.5,198.12,260,2,0,0,3.61,0.51,0.1,1.48,0.61,3,5,25,0,0,0,2,2,0,0,4,Orthodox,190.5,198.12,249,34,35,2,1,-2,-3,4,-22,0,-2,1,0.0,0.0,-1,-0.96,1.5,8.45,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,U-DEC,,3.0,5:00,900.0,345.0,,600.0,,325.0,,36.8448348,-76.2863999
Jordan Griffin,TJ Brown,-135.0,115,74.07407407,115.0,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Featherweight,MALE,3,0,0,0,3.31,0.47,1.2,5.78,0.71,0,0,0,0,0,0,0,0,0,0,0,Switch,175.26,182.88,145,2,0,0,3.15,0.46,1.8,0.44,0.25,0,2,6,0,0,0,0,0,0,0,0,Southpaw,177.8,185.42,145,30,29,2,0,0,0,2,-6,0,0,0,-2.54,-2.54,1,0.16,-0.6,5.34,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,SUB,Guillotine Choke,2.0,3:38,518.0,270.0,250.0,470.0,590.0,370.0,600.0,36.8448348,-76.2863999
Aalon Cruz,Spike Carlyle,-190.0,165,52.63157895,165.0,2020-02-29,"Norfolk, Virginia, USA", USA,Blue,False,Featherweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Switch,170.18,180.34,145,0,0,0,9.04,0.4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Switch,182.88,198.12,145,30,26,0,0,0,0,0,0,0,0,0,-12.7,-17.78,4,-9.04,0.0,0.0,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,KO/TKO,Punches,1.0,1:25,85.0,130.0,410.0,950.0,502.0,370.0,1000.0,36.8448348,-76.2863999
Sean Brady,Ismail Naurdiev,105.0,-125,105.0,80.0,2020-02-29,"Norfolk, Virginia, USA", USA,Red,False,Welterweight,MALE,3,0,1,0,3.4,0.56,0.3,1.67,0.83,1,1,9,0,0,0,2,0,0,0,2,Orthodox,177.8,187.96,170,0,1,0,7.93,0.56,0.0,2.0,0.66,1,0,3,0,0,0,1,0,0,0,1,Orthodox,177.8,182.88,170,27,23,0,0,0,1,-1,6,0,0,0,0.0,5.08,4,-4.53,0.3,-0.33,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,U-DEC,,3.0,5:00,900.0,163.0,155.0,1300.0,2250.0,794.0,410.0,36.8448348,-76.2863999
Paul Felder,Dan Hooker,130.0,-150,130.0,66.66666667,2020-02-22,"Auckland, New Zealand", New Zealand,Blue,False,Lightweight,MALE,5,0,2,0,4.73,0.44,0.4,0.4,0.33,4,4,29,0,0,0,1,6,2,0,9,Switch,182.88,190.5,155,0,2,0,3.55,0.43,0.3,0.29,0.27,3,4,33,0,0,2,2,4,1,0,9,Orthodox,180.34,177.8,155,35,30,0,0,1,0,0,-4,0,2,1,2.54,12.7,5,1.18,0.1,0.11,0,1,7,6,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,6,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,7,unRanked,unRanked,unRanked,unRanked,Red,S-DEC,,5.0,5:00,1500.0,320.0,280.0,1200.0,700.0,360.0,205.0,-36.5412811,174.550610491441
Jim Crute,Michal Oleksiejczuk,100.0,-120,100.0,83.33333333,2020-02-22,"Auckland, New Zealand", New Zealand,Red,False,Light Heavyweight,MALE,3,1,0,0,5.39,0.56,0.0,1.2,0.66,2,1,7,0,0,0,0,2,0,0,2,Southpaw,182.88,187.96,205,1,0,0,4.56,0.57,2.3,0.58,1.0,2,1,5,0,0,0,0,1,1,0,2,Orthodox,187.96,187.96,205,23,25,0,0,0,0,0,2,0,1,-1,-5.08,0.0,-2,0.83,-2.3,0.62,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,,,,,,340.0,450.0,450.0,1800.0,500.0,160.0,-36.5412811,174.550610491441
Karolina Kowalkiewicz,Yan Xiaonan,225.0,-265,225.0,37.73584906,2020-02-22,"Auckland, New Zealand", New Zealand,Blue,False,Women's Strawweight,FEMALE,3,0,4,0,6.85,0.4,0.0,0.25,0.25,4,0,12,0,0,0,4,0,0,0,4,Orthodox,165.1,160.02,115,3,0,0,5.57,0.39,0.0,0.11,0.14,3,5,28,1,0,2,3,0,0,0,5,Orthodox,160.02,162.56,115,34,30,3,4,1,-1,5,-16,-1,0,0,5.08,-2.54,4,1.28,0.0,0.14,0,1,unRanked,14,unRanked,unRanked,14,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,Red,,,,,,320.0,-145.0,1500.0,1500.0,1200.0,550.0,-36.5412811,174.550610491441
